Attraction,City,Rating,Category
Chefchaouen Souk,Chefchaouen,3.8,Souk
Casablanca Kasbah,Casablanca,4.9,Kasbah
Tangier Palace,Tangier,4.8,Palace
Casablanca Medina,Casablanca,4.0,Medina
Tangier Garden,Tangier,5.0,Garden
Tangier Kasbah,Tangier,3.8,Kasbah
Tangier Garden,Tangier,5.0,Garden
Tangier Medina,Tangier,4.4,Medina
Casablanca Kasbah,Casablanca,3.9,Kasbah
Rabat Garden,Rabat,4.6,Garden
Rabat Palace,Rabat,4.8,Palace
Marrakech Kasbah,Marrakech,4.4,Kasbah
Fes Garden,Fes,4.5,Garden
Tangier Medina,Tangier,4.0,Medina
Fes Souk,Fes,4.5,Souk
Rabat Kasbah,Rabat,4.2,Kasbah
Casablanca Garden,Casablanca,3.7,Garden
Chefchaouen Mosque,Chefchaouen,3.5,Mosque
Rabat Kasbah,Rabat,4.4,Kasbah
Rabat Souk,Rabat,4.0,Souk
Tangier Palace,Tangier,4.7,Palace
Fes Medina,Fes,4.5,Medina
Fes Medina,Fes,3.9,Medina
Chefchaouen Medina,Chefchaouen,4.4,Medina
Marrakech Mosque,Marrakech,4.7,Mosque
Marrakech Palace,Marrakech,4.0,Palace
Chefchaouen Garden,Chefchaouen,4.4,Garden
Rabat Kasbah,Rabat,4.9,Kasbah
Marrakech Kasbah,Marrakech,3.8,Kasbah
Rabat Souk,Rabat,3.9,Souk
Chefchaouen Garden,Chefchaouen,4.6,Garden
Fes Souk,Fes,4.3,Souk
Rabat Mosque,Rabat,4.2,Mosque
Chefchaouen Souk,Chefchaouen,3.9,Souk
Marrakech Palace,Marrakech,4.9,Palace
Marrakech Mosque,Marrakech,4.3,Mosque
Tangier Souk,Tangier,5.0,Souk
Tangier Kasbah,Tangier,4.5,Kasbah
Rabat Medina,Rabat,3.6,Medina
Marrakech Kasbah,Marrakech,4.2,Kasbah
Casablanca Mosque,Casablanca,3.6,Mosque
Fes Garden,Fes,4.5,Garden
Casablanca Souk,Casablanca,3.6,Souk
Tangier Mosque,Tangier,4.1,Mosque
Marrakech Medina,Marrakech,3.8,Medina
Marrakech Medina,Marrakech,4.6,Medina
Casablanca Mosque,Casablanca,5.0,Mosque
Marrakech Mosque,Marrakech,4.4,Mosque
Rabat Palace,Rabat,4.8,Palace
Tangier Mosque,Tangier,4.5,Mosque
